Order_ID,Order_Date,Store_Name,City,State,Category,Sub_Category,Product_Name,Quantity_Sold,Unit_Price,Sales,Cost,Profit,Customer_Type,Payment_Mode
ORD000022,24-10-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Fashion,Footwear,Men's Sports Shoes,1,1525.75,1525.75,1111.85,413.9,Regular,UPI
ORD000023,11-12-2025,D-Mart Jaipur Vaishali Nagar,Jaipur,Rajasthan,Grocery,Edible Oil,Fortune Sunflower Oil 1L,3,154.74,464.22,413.27,50.95,Regular,Cash
ORD000024,08-11-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Grocery,Tea & Coffee,Nescafe Classic Coffee 200g,6,295.95,1775.7,1506.87,268.83,Regular,Card
ORD000025,18-09-2025,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Grocery,Snacks & Namkeen,Haldiram Bhujia 400g,6,102.51,615.06,467.21,147.85,Regular,UPI
ORD000026,03-07-2024,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Grocery,Spices,Everest Turmeric Powder 200g,1,62.56,62.56,49.92,12.64,New,UPI
ORD000027,08-12-2024,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Household,Kitchenware,Tupperware Storage Set,1,845.47,845.47,629.87,215.6,Regular,Cash
ORD000028,12-02-2024,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Household,Cleaning Supplies,Harpic Toilet Cleaner 1L,4,133.67,534.68,434.46,100.22,New,Cash
ORD000029,25-05-2024,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Grocery,Snacks & Namkeen,Lays Classic 90g,6,22.71,136.26,112.28,23.98,Regular,UPI
ORD000030,22-06-2025,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Grocery,Snacks & Namkeen,Haldiram Bhujia 400g,1,91.04,91.04,70.32,20.72,Regular,UPI
ORD000031,18-08-2025,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Grocery,Atta & Flour,Patanjali Multigrain Atta 5kg,7,286.44,2005.08,1733,272.08,Regular,UPI
ORD000032,09-12-2025,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Grocery,Atta & Flour,Fortune Chakki Atta 10kg,1,425.12,425.12,380.24,44.88,Regular,UPI
ORD000033,13-10-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Electronics,Personal Electronics,Portable LED Lamp,1,350.11,350.11,247.64,102.47,Regular,Cash
ORD000034,30-10-2024,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Grocery,Rice & Pulses,Moong Dal 1kg,6,141.37,848.22,715.46,132.76,Regular,UPI
ORD000035,10-12-2024,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Household,Cleaning Supplies,Surf Excel Detergent 1kg,1,150.26,150.26,124.97,25.29,Regular,UPI
ORD000036,28-06-2024,D-Mart Indore Rajwada,Indore,Madhya Pradesh,Electronics,Home Appliances,Bajaj Room Heater,1,1350.47,1350.47,1083.62,266.85,Regular,UPI
ORD000037,01-05-2024,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Personal Care,Hair Care,Parachute Hair Oil 500ml,4,225.03,900.12,760.28,139.84,Regular,UPI
ORD000038,14-12-2024,D-Mart Delhi Rohini,Delhi,Delhi,Household,Cleaning Supplies,Surf Excel Detergent 1kg,4,145.42,581.68,485.84,95.84,Regular,UPI
ORD000039,03-08-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Personal Care,Skin Care,Ponds Cold Cream 200g,6,199.62,1197.72,962.02,235.7,New,Cash
ORD000040,09-06-2025,D-Mart Lucknow Alambagh,Lucknow,Uttar Pradesh,Grocery,Beverages,Coca-Cola 1.25L,6,78.66,471.96,402.81,69.15,Regular,Card
ORD000041,24-11-2024,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Grocery,Beverages,Coca-Cola 1.25L,11,75.68,832.48,743.2,89.28,Regular,Card
ORD000042,16-10-2025,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Grocery,Spices,MDH Garam Masala 100g,6,81.64,489.84,383.38,106.46,New,Card
ORD000043,09-07-2025,D-Mart Pune Hadapsar,Pune,Maharashtra,Household,Cleaning Supplies,Surf Excel Detergent 1kg,5,148.45,742.25,627.18,115.07,Regular,Card
ORD000044,08-10-2024,D-Mart Indore Vijay Nagar,Indore,Madhya Pradesh,Personal Care,Oral Care,Colgate Strong Teeth 200g,3,95.31,285.93,240.18,45.75,New,UPI
ORD000045,16-10-2025,D-Mart Delhi Rohini,Delhi,Delhi,Grocery,Edible Oil,Fortune Sunflower Oil 1L,6,146.27,877.62,772.04,105.58,Regular,UPI
ORD000046,05-10-2025,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Grocery,Atta & Flour,Fortune Chakki Atta 10kg,12,440.34,5284.08,4486.44,797.64,Regular,Card
ORD000047,05-11-2024,D-Mart Lucknow Alambagh,Lucknow,Uttar Pradesh,Grocery,Rice & Pulses,Moong Dal 1kg,2,124.39,248.78,215.63,33.15,New,UPI
ORD000048,27-09-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Personal Care,Hair Care,Dove Shampoo 650ml,4,394.81,1579.24,1290.36,288.88,Regular,Card
ORD000049,21-06-2025,D-Mart Pune Kothrud,Pune,Maharashtra,Household,Cleaning Supplies,Surf Excel Detergent 1kg,5,149.7,748.5,634.04,114.46,Regular,Cash
ORD000050,11-05-2024,D-Mart Indore Vijay Nagar,Indore,Madhya Pradesh,Grocery,Edible Oil,Fortune Sunflower Oil 1L,1,158.09,158.09,137.88,20.21,New,UPI
ORD000051,08-07-2024,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Personal Care,Oral Care,Colgate Strong Teeth 200g,4,111.27,445.08,373.65,71.43,New,Card
ORD000052,08-01-2024,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Grocery,Rice & Pulses,Toor Dal 1kg,7,159.34,1115.38,964,151.38,Regular,Cash
ORD000053,26-09-2025,D-Mart Lucknow Alambagh,Lucknow,Uttar Pradesh,Fashion,Men's Wear,Men's Denim Jeans,2,1369.44,2738.88,1859.47,879.41,Regular,UPI
ORD000054,04-06-2025,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Grocery,Spices,Everest Turmeric Powder 200g,4,64.75,259,212.9,46.1,Regular,Card
ORD000055,13-07-2025,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Personal Care,Skin Care,Ponds Cold Cream 200g,2,207.87,415.74,327.29,88.45,Regular,UPI
ORD000056,20-09-2025,D-Mart Pune Wakad,Pune,Maharashtra,Grocery,Rice & Pulses,India Gate Basmati Rice 5kg,2,516.44,1032.88,883.37,149.51,Regular,UPI
ORD000057,03-12-2024,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Electronics,Mobile Accessories,Bluetooth Earphones,1,1087.15,1087.15,749.37,337.78,Regular,Card
ORD000058,07-03-2025,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Household,Cleaning Supplies,Surf Excel Detergent 1kg,2,153.45,306.9,258.84,48.06,Regular,Card
ORD000059,11-05-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Grocery,Tea & Coffee,Tata Tea Gold 1kg,2,510.91,1021.82,842.42,179.4,New,UPI
ORD000060,16-04-2024,D-Mart Delhi Rohini,Delhi,Delhi,Personal Care,Hair Care,Dove Shampoo 650ml,3,381.88,1145.64,949.16,196.48,Regular,UPI
ORD000061,08-06-2025,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Electronics,Kitchen Appliances,Bajaj Induction Cooktop,2,1802.05,3604.1,2859.25,744.85,Regular,Cash
ORD000062,11-12-2024,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Fashion,Men's Wear,Men's Denim Jeans,2,1113.39,2226.78,1433.87,792.91,New,UPI
ORD000063,04-03-2025,D-Mart Pune Hadapsar,Pune,Maharashtra,Grocery,Spices,MDH Garam Masala 100g,7,79.08,553.56,438.23,115.33,Regular,UPI
ORD000064,05-09-2025,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Personal Care,Skin Care,Nivea Body Lotion 400ml,4,377.63,1510.52,1200.76,309.76,New,UPI
ORD000065,06-05-2025,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Electronics,Mobile Accessories,USB-C Fast Charger 25W,1,771.34,771.34,527.4,243.94,Regular,Cash
ORD000066,21-02-2025,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Grocery,Atta & Flour,Aashirvaad Atta 5kg,6,227.68,1366.08,1151.13,214.95,New,UPI
ORD000067,27-02-2025,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Personal Care,Hair Care,Dove Shampoo 650ml,1,428.59,428.59,349.83,78.76,Regular,Card
ORD000068,05-10-2024,D-Mart Jaipur Vaishali Nagar,Jaipur,Rajasthan,Household,Storage & Organizers,Plastic Storage Box 20L,1,587.9,587.9,419.45,168.45,New,UPI
ORD000069,30-01-2024,D-Mart Delhi Rohini,Delhi,Delhi,Electronics,Home Appliances,Crompton Table Fan,2,1498.55,2997.1,2378.17,618.93,Regular,UPI
ORD000070,23-11-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Fashion,Women's Wear,Women's Kurti,5,851.21,4256.05,2719.75,1536.3,Regular,Card
ORD000071,22-07-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Household,Home Decor,Wall Clock,2,429.85,859.7,555.11,304.59,Regular,Cash
ORD000072,13-11-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Grocery,Spices,MDH Garam Masala 100g,4,78.42,313.68,246.7,66.98,Regular,Card
ORD000073,24-10-2025,D-Mart Lucknow Alambagh,Lucknow,Uttar Pradesh,Grocery,Atta & Flour,Aashirvaad Atta 5kg,2,236,472,408.71,63.29,Regular,UPI
ORD000074,09-08-2024,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Electronics,Kitchen Appliances,Bajaj Induction Cooktop,1,1854.08,1854.08,1553.51,300.57,Regular,UPI
ORD000075,26-02-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Household,Storage & Organizers,Plastic Storage Box 20L,3,448.91,1346.73,1000.33,346.4,New,UPI
ORD000076,20-09-2024,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Grocery,Atta & Flour,Patanjali Multigrain Atta 5kg,2,288.18,576.36,484.73,91.63,Regular,Cash
ORD000077,01-10-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Grocery,Edible Oil,Fortune Sunflower Oil 1L,9,158.8,1429.2,1275.24,153.96,Regular,UPI
ORD000078,01-06-2025,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Fashion,Kids Wear,Kids Frock,2,578.53,1157.06,719.12,437.94,Regular,UPI
ORD000079,24-02-2025,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Household,Storage & Organizers,Wardrobe Organizer Set,4,562.7,2250.8,1668.4,582.4,Regular,UPI
ORD000080,23-09-2025,D-Mart Delhi Rohini,Delhi,Delhi,Household,Cleaning Supplies,Surf Excel Detergent 1kg,5,150.6,753,635.63,117.37,New,UPI
ORD000081,04-06-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Grocery,Snacks & Namkeen,Haldiram Bhujia 400g,1,93.49,93.49,74.09,19.4,Regular,Card
ORD000082,12-11-2024,D-Mart Delhi Rohini,Delhi,Delhi,Grocery,Spices,Everest Turmeric Powder 200g,11,57.22,629.42,490.84,138.58,Regular,Cash
ORD000083,09-10-2025,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Grocery,Atta & Flour,Fortune Chakki Atta 10kg,11,453.84,4992.24,4517.21,475.03,New,Card
ORD000084,06-06-2024,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Grocery,Beverages,Coca-Cola 1.25L,6,80.75,484.5,425.12,59.38,Regular,UPI
ORD000085,23-01-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Household,Kitchenware,Tupperware Storage Set,3,815.45,2446.35,1789.11,657.24,Regular,Card
ORD000086,24-03-2024,D-Mart Indore Rajwada,Indore,Madhya Pradesh,Fashion,Men's Wear,Men's Cotton Casual Shirt,2,828.79,1657.58,1110.02,547.56,Regular,UPI
ORD000087,30-07-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Fashion,Kids Wear,Kids T-Shirt,2,410.31,820.62,525.47,295.15,Regular,UPI
ORD000088,05-12-2024,D-Mart Pune Kothrud,Pune,Maharashtra,Grocery,Edible Oil,Saffola Gold Oil 1L,7,157.17,1100.19,996.94,103.25,Regular,UPI
ORD000089,31-05-2024,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Personal Care,Bath & Body,Lux Body Wash 250ml,3,182.75,548.25,452.7,95.55,Regular,Card
ORD000090,01-01-2025,D-Mart Indore Vijay Nagar,Indore,Madhya Pradesh,Grocery,Beverages,Frooti 1L,5,71.02,355.1,298.93,56.17,Regular,UPI
ORD000091,23-05-2024,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Grocery,Beverages,Coca-Cola 1.25L,4,71.07,284.28,249.79,34.49,New,UPI
ORD000092,05-07-2025,D-Mart Pune Kothrud,Pune,Maharashtra,Grocery,Atta & Flour,Patanjali Multigrain Atta 5kg,5,265.66,1328.3,1136.54,191.76,New,UPI
ORD000093,27-11-2024,D-Mart Indore Vijay Nagar,Indore,Madhya Pradesh,Grocery,Tea & Coffee,Tata Tea Gold 1kg,7,474.06,3318.42,2810.52,507.9,Regular,Cash
ORD000094,03-11-2024,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Household,Cleaning Supplies,Harpic Toilet Cleaner 1L,3,138.66,415.98,329.95,86.03,New,Card
ORD000095,04-10-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Personal Care,Oral Care,Oral-B Toothbrush Pack of 2,4,90.62,362.48,291.63,70.85,Regular,UPI
ORD000096,02-05-2025,D-Mart Pune Kothrud,Pune,Maharashtra,Grocery,Spices,Everest Turmeric Powder 200g,8,64.86,518.88,422.42,96.46,Regular,Cash
ORD000097,27-10-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Household,Cleaning Supplies,Surf Excel Detergent 1kg,5,171.63,858.15,702.27,155.88,Regular,Card
ORD000098,22-03-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Personal Care,Oral Care,Colgate Strong Teeth 200g,2,99.33,198.66,168.96,29.7,Regular,UPI
ORD000099,19-04-2024,D-Mart Jaipur Vaishali Nagar,Jaipur,Rajasthan,Grocery,Beverages,Coca-Cola 1.25L,6,83.38,500.28,430.93,69.35,Regular,Card
ORD000100,05-12-2025,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Personal Care,Skin Care,Nivea Body Lotion 400ml,2,327.43,654.86,518.03,136.83,New,UPI
ORD000101,13-11-2025,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Grocery,Tea & Coffee,Nescafe Classic Coffee 200g,1,300.34,300.34,245.1,55.24,Regular,Cash
ORD000102,08-07-2025,D-Mart Lucknow Gomti Nagar,Lucknow,Uttar Pradesh,Grocery,Spices,Everest Turmeric Powder 200g,5,66.58,332.9,263.62,69.28,New,Card
ORD000103,05-09-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Grocery,Spices,MDH Garam Masala 100g,6,94.94,569.64,467.73,101.91,Regular,Card
ORD000104,10-12-2025,D-Mart Jaipur Vaishali Nagar,Jaipur,Rajasthan,Grocery,Snacks & Namkeen,Haldiram Bhujia 400g,7,106.01,742.07,585.18,156.89,New,UPI
ORD000105,18-09-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Grocery,Atta & Flour,Patanjali Multigrain Atta 5kg,3,285.46,856.38,752.64,103.74,New,UPI
ORD000106,25-07-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Household,Home Decor,LED String Lights,4,381.81,1527.24,1020.68,506.56,New,Card
ORD000107,28-11-2024,D-Mart Pune Wakad,Pune,Maharashtra,Fashion,Women's Wear,Women's Kurti,4,526.06,2104.24,1427.82,676.42,New,Cash
ORD000108,11-09-2024,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Grocery,Tea & Coffee,Tata Tea Gold 1kg,4,507.98,2031.92,1712.84,319.08,Regular,Card
ORD000109,30-03-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Electronics,Home Appliances,Bajaj Room Heater,1,1325.58,1325.58,1027.89,297.69,New,Card
ORD000110,11-11-2025,D-Mart Hyderabad Kukatpally,Hyderabad,Telangana,Electronics,Kitchen Appliances,Philips Electric Kettle 1.5L,1,1142.36,1142.36,926.09,216.27,Regular,Card
ORD000111,01-12-2024,D-Mart Pune Wakad,Pune,Maharashtra,Personal Care,Bath & Body,Dettol Soap Pack of 4,2,171.08,342.16,275.28,66.88,Regular,Card
ORD000112,10-07-2024,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Personal Care,Bath & Body,Dettol Soap Pack of 4,1,189.82,189.82,151.88,37.94,Regular,Cash
ORD000113,06-10-2024,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Personal Care,Bath & Body,Dettol Soap Pack of 4,7,182.59,1278.13,1081.18,196.95,Regular,Cash
ORD000114,16-03-2025,D-Mart Pune Kothrud,Pune,Maharashtra,Grocery,Atta & Flour,Patanjali Multigrain Atta 5kg,1,280.88,280.88,242.68,38.2,Regular,Cash
ORD000115,15-06-2024,D-Mart Indore Rajwada,Indore,Madhya Pradesh,Grocery,Beverages,Frooti 1L,3,69.08,207.24,178.41,28.83,Regular,Card
ORD000116,25-10-2025,D-Mart Pune Hadapsar,Pune,Maharashtra,Personal Care,Bath & Body,Dettol Soap Pack of 4,7,152.5,1067.5,876.19,191.31,Regular,UPI
ORD000117,30-08-2025,D-Mart Pune Kothrud,Pune,Maharashtra,Personal Care,Hair Care,Parachute Hair Oil 500ml,3,221.75,665.25,528.81,136.44,Regular,UPI
ORD000118,27-07-2025,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Household,Cleaning Supplies,Surf Excel Detergent 1kg,5,165.23,826.15,665.67,160.48,Regular,UPI
ORD000119,22-11-2024,D-Mart Pune Kothrud,Pune,Maharashtra,Grocery,Rice & Pulses,Moong Dal 1kg,7,143.75,1006.25,819.6,186.65,Regular,UPI
ORD000120,29-04-2025,D-Mart Indore Rajwada,Indore,Madhya Pradesh,Household,Cleaning Supplies,Surf Excel Detergent 1kg,1,170.59,170.59,145.88,24.71,Regular,UPI
ORD000121,20-03-2025,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Grocery,Spices,Everest Turmeric Powder 200g,3,63.51,190.53,149.93,40.6,New,Cash
ORD000122,21-05-2025,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Grocery,Beverages,Coca-Cola 1.25L,7,84.92,594.44,527.9,66.54,Regular,UPI
ORD000123,20-03-2024,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Personal Care,Bath & Body,Dettol Soap Pack of 4,3,170.55,511.65,407.94,103.71,Regular,Card
ORD000124,16-11-2024,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Household,Storage & Organizers,Wardrobe Organizer Set,6,617.26,3703.56,2581.11,1122.45,New,Card
ORD000125,10-02-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Grocery,Spices,Everest Turmeric Powder 200g,6,59.34,356.04,298.07,57.97,Regular,UPI
ORD000126,27-12-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Household,Kitchenware,Tupperware Storage Set,1,784,784,572.97,211.03,Regular,UPI
ORD000127,15-10-2024,D-Mart Pune Wakad,Pune,Maharashtra,Fashion,Women's Wear,Women's Kurti,2,515.81,1031.62,688.4,343.22,Regular,Cash
ORD000128,15-05-2024,D-Mart Jaipur Vaishali Nagar,Jaipur,Rajasthan,Fashion,Footwear,Men's Sports Shoes,2,1413.19,2826.38,2064.55,761.83,Regular,Card
ORD000129,05-04-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Personal Care,Hair Care,Parachute Hair Oil 500ml,3,192.45,577.35,451.17,126.18,Regular,UPI
ORD000130,23-03-2025,D-Mart Pune Wakad,Pune,Maharashtra,Electronics,Mobile Accessories,Tempered Glass Screen Guard,2,294.31,588.62,377.08,211.54,Regular,UPI
ORD000131,09-06-2024,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Grocery,Spices,MDH Garam Masala 100g,5,80.45,402.25,322.24,80.01,Regular,Card
ORD000132,19-11-2025,D-Mart Pune Wakad,Pune,Maharashtra,Personal Care,Skin Care,Ponds Cold Cream 200g,2,198.63,397.26,321.59,75.67,New,UPI
ORD000133,17-03-2025,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Grocery,Spices,MDH Garam Masala 100g,7,91.35,639.45,513.12,126.33,Regular,Cash
ORD000134,21-10-2024,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Grocery,Spices,Everest Turmeric Powder 200g,3,59.01,177.03,140.37,36.66,Regular,UPI
ORD000135,26-03-2025,D-Mart Indore Rajwada,Indore,Madhya Pradesh,Personal Care,Skin Care,Ponds Cold Cream 200g,3,203.77,611.31,500.18,111.13,New,UPI
ORD000136,23-01-2024,D-Mart Delhi Lajpat Nagar,Delhi,Delhi,Grocery,Spices,MDH Garam Masala 100g,6,82.37,494.22,389.28,104.94,Regular,UPI
ORD000137,03-12-2025,D-Mart Mumbai Mulund,Mumbai,Maharashtra,Grocery,Spices,MDH Garam Masala 100g,4,87.82,351.28,280.05,71.23,Regular,Card
ORD000138,19-12-2024,D-Mart Mumbai Andheri,Mumbai,Maharashtra,Grocery,Atta & Flour,Fortune Chakki Atta 10kg,2,444.88,889.76,767.55,122.21,New,UPI
ORD000139,22-09-2025,D-Mart Pune Wakad,Pune,Maharashtra,Grocery,Rice & Pulses,Moong Dal 1kg,4,143.98,575.92,490.83,85.09,Regular,Card
ORD000140,18-03-2024,D-Mart Hyderabad Dilsukhnagar,Hyderabad,Telangana,Fashion,Kids Wear,Kids Frock,1,625.71,625.71,435.61,190.1,Regular,Card
ORD000141,22-12-2024,D-Mart Ahmedabad Maninagar,Ahmedabad,Gujarat,Electronics,Mobile Accessories,Tempered Glass Screen Guard,2,249.48,498.96,309.48,189.48,Regular,UPI
ORD000142,25-12-2024,D-Mart Mumbai Borivali,Mumbai,Maharashtra,Fashion,Footwear,Women's Sandals,2,553.12,1106.24,799.08,307.16,New,Cash
ORD000143,24-11-2025,D-Mart Ahmedabad Satellite,Ahmedabad,Gujarat,Grocery,Tea & Coffee,Tata Tea Gold 1kg,6,510.8,3064.8,2508.28,556.52,New,UPI
ORD000144,09-03-2025,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Household,Kitchenware,Stainless Steel Tiffin Box,1,314.24,314.24,246.04,68.2,New,Cash
ORD000145,13-12-2024,D-Mart Pune Wakad,Pune,Maharashtra,Personal Care,Hair Care,Parachute Hair Oil 500ml,4,218.13,872.52,718.96,153.56,Regular,UPI
ORD000146,06-09-2024,D-Mart Jaipur Tonk Road,Jaipur,Rajasthan,Grocery,Edible Oil,Saffola Gold Oil 1L,7,168.6,1180.2,1030.42,149.78,New,Cash
ORD000147,15-10-2024,D-Mart Jaipur Malviya Nagar,Jaipur,Rajasthan,Personal Care,Skin Care,Ponds Cold Cream 200g,6,214.84,1289.04,1021.74,267.3,Regular,Cash
